Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.09392"
"0.05000","0.00105","0.07753"
"0.10000","0.00861","0.02898"
"0.15000","0.02299","0.06670"
"0.20000","0.04206","0.06906"
"0.25000","0.05739","0.03378"
"0.30000","0.07253","0.02852"
"0.35000","0.08730","0.06325"
"0.40000","0.10264","0.07528"
"0.45000","0.11739","0.02699"
"0.50000","0.13264","0.04559"
"0.55000","0.14740","0.06102"
"0.60000","0.16272","0.04643"
"0.65000","0.17765","0.04497"
"0.70000","0.19263","0.03858"
"0.75000","0.20740","0.06149"
"0.80000","0.22250","0.04825"
"0.85000","0.23775","0.06941"
"0.90000","0.25240","0.07228"
"0.95000","0.26753","0.05136"
"1.00000","0.28226","0.05553"
"1.05000","0.29773","0.06891"
"1.10000","0.31248","0.05931"
"1.15000","0.32764","0.06530"
"1.20000","0.34251","0.05738"
"1.25000","0.35780","0.06234"
"1.30000","0.37265","0.08202"
"1.35000","0.38752","0.06597"
"1.40000","0.40260","0.05837"
"1.45000","0.41749","0.08482"
"1.50000","0.43273","0.05979"
"1.55000","0.44732","0.05174"
"1.60000","0.46250","0.07023"
"1.65000","0.47737","0.07491"
"1.70000","0.49275","0.09366"
"1.75000","0.50754","0.06355"
"1.80000","0.52258","0.08484"
"1.85000","0.53760","0.08734"
"1.90000","0.55252","0.07521"
"1.95000","0.56742","0.07196"
"2.00000","0.58254","0.06979"
"2.05000","0.59771","0.09306"
"2.10000","0.61262","0.09385"
"2.15000","0.62759","0.10982"
"2.20000","0.64231","0.14879"
"2.25000","0.65751","0.07119"
"2.30000","0.67265","0.07060"
"2.35000","0.68777","0.08499"
"2.40000","0.70243","0.05366"
"2.45000","0.71764","0.08272"
"2.50000","0.73249","0.08477"
"2.55000","0.74777","0.07230"
"2.60000","0.76246","0.08877"
"2.65000","0.77738","0.07898"
"2.70000","0.79252","0.07653"
"2.75000","0.80751","0.08827"
"2.80000","0.82258","0.07327"
"2.85000","0.83737","0.09137"
"2.90000","0.85280","0.08505"
"2.95000","0.86750","0.09673"
"3.00000","0.88268","0.09687"
"3.05000","0.89727","0.08031"
"3.10000","0.91274","0.10175"
"3.15000","0.92752","0.09284"
"3.20000","0.94258","0.09377"
"3.25000","0.95739","0.10303"
"3.30000","0.97244","0.09206"
"3.35000","0.98758","0.10576"
"3.40000","1.00240","0.09663"
"3.45000","1.01768","0.09125"
"3.50000","1.03249","0.11256"
"3.55000","1.04794","0.09858"
"3.60000","1.06246","0.10781"
"3.65000","1.07762","0.10431"
"3.70000","1.09235","0.10361"
"3.75000","1.10770","0.11239"
"3.80000","1.12253","0.11938"
"3.85000","1.13745","0.10679"
"3.90000","1.15248","0.10166"
"3.95000","1.16748","0.11592"
"4.00000","1.18275","0.11218"
"4.05000","1.19752","0.11722"
"4.10000","1.21259","0.11515"
"4.15000","1.22754","0.12454"
"4.20000","1.24268","0.12322"
"4.25000","1.25741","0.12356"
"4.30000","1.27257","0.10531"
"4.35000","1.28749","0.12510"
"4.40000","1.30262","0.13557"
"4.45000","1.31747","0.11782"
"4.50000","1.33244","0.11358"
"4.55000","1.34757","0.13235"
"4.60000","1.36270","0.12206"
"4.65000","1.37765","0.12463"
"4.70000","1.39247","0.11470"
"4.75000","1.40760","0.12391"
"4.80000","1.42237","0.14488"
"4.85000","1.43769","0.13031"
"4.90000","1.45241","0.13975"
"4.95000","1.46753","0.14852"
"5.00000","1.48236","0.13644"
"5.05000","1.49774","0.14465"
"5.10000","1.51242","0.14264"
"5.15000","1.52759","0.13641"
"5.20000","1.54268","0.14547"
"5.25000","1.55776","0.14158"
"5.30000","1.57257","0.12546"
"5.35000","1.58737","0.12494"
"5.40000","1.60273","0.12835"
"5.45000","1.61741","0.13559"
"5.50000","1.63257","0.12586"
"5.55000","1.64718","0.13593"
"5.60000","1.66267","0.12549"
"5.65000","1.67750","0.12997"
"5.70000","1.69267","0.15254"
"5.75000","1.70751","0.12449"
"5.80000","1.72267","0.13895"
"5.85000","1.73772","0.14884"
"5.90000","1.75259","0.13907"
"5.95000","1.76759","0.14927"
"6.00000","1.78240","0.14628"
"6.05000","1.79769","0.14645"
"6.10000","1.81241","0.15820"
"6.15000","1.82756","0.14539"
"6.20000","1.84229","0.14358"
"6.25000","1.85761","0.15283"
"6.30000","1.87255","0.14478"
"6.35000","1.88763","0.15520"
"6.40000","1.90258","0.12903"
"6.45000","1.91771","0.15509"
"6.50000","1.93260","0.14648"
"6.55000","1.94744","0.14372"
"6.60000","1.96243","0.14926"
"6.65000","1.97757","0.15457"
"6.70000","1.99268","0.15717"
"6.75000","2.00744","0.17631"
"6.80000","2.02248","0.15089"
"6.85000","2.03756","0.16728"
"6.90000","2.05276","0.18033"
"6.95000","2.06753","0.14429"
"7.00000","2.08263","0.17546"
"7.05000","2.09745","0.16074"
"7.10000","2.11271","0.17706"
"7.15000","2.12758","0.16508"
"7.20000","2.14238","0.16218"
"7.25000","2.15749","0.16141"
"7.30000","2.17246","0.17254"
"7.35000","2.18766","0.15940"
"7.40000","2.20235","0.17072"
"7.45000","2.21774","0.15311"
