Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.03537"
"0.05000","0.00069","-0.05992"
"0.10000","0.00595","-0.07637"
"0.15000","0.01520","-0.02328"
"0.20000","0.03104","-0.06519"
"0.25000","0.04395","-0.09622"
"0.30000","0.05536","-0.07718"
"0.35000","0.06694","-0.07367"
"0.40000","0.07875","-0.11118"
"0.45000","0.09020","-0.10626"
"0.50000","0.10212","-0.10012"
"0.55000","0.11398","-0.11578"
"0.60000","0.12529","-0.11325"
"0.65000","0.13721","-0.12390"
"0.70000","0.14884","-0.12257"
"0.75000","0.16023","-0.12080"
"0.80000","0.17255","-0.13518"
"0.85000","0.18387","-0.12782"
"0.90000","0.19523","-0.15103"
"0.95000","0.20722","-0.14591"
"1.00000","0.21875","-0.16374"
"1.05000","0.23042","-0.14889"
"1.10000","0.24231","-0.17574"
"1.15000","0.25361","-0.17583"
"1.20000","0.26533","-0.14401"
"1.25000","0.27710","-0.12383"
"1.30000","0.28857","-0.15524"
"1.35000","0.30067","-0.18995"
"1.40000","0.31223","-0.21639"
"1.45000","0.32364","-0.23332"
"1.50000","0.33553","-0.25416"
"1.55000","0.34721","-0.24116"
"1.60000","0.35873","-0.24371"
"1.65000","0.37058","-0.25483"
"1.70000","0.38204","-0.25270"
"1.75000","0.39370","-0.26401"
"1.80000","0.40548","-0.25607"
"1.85000","0.41701","-0.26796"
"1.90000","0.42892","-0.27449"
"1.95000","0.44044","-0.26294"
"2.00000","0.45183","-0.27994"
"2.05000","0.46379","-0.30111"
"2.10000","0.47555","-0.28520"
"2.15000","0.48721","-0.30135"
"2.20000","0.49900","-0.30885"
"2.25000","0.51043","-0.29882"
"2.30000","0.52197","-0.30405"
"2.35000","0.53391","-0.33477"
"2.40000","0.54529","-0.31527"
"2.45000","0.55727","-0.33065"
"2.50000","0.56882","-0.34222"
"2.55000","0.58016","-0.35964"
"2.60000","0.59211","-0.34896"
"2.65000","0.60372","-0.34857"
"2.70000","0.61520","-0.36840"
"2.75000","0.62732","-0.37091"
"2.80000","0.63868","-0.35193"
"2.85000","0.65020","-0.38178"
"2.90000","0.66242","-0.40882"
"2.95000","0.67382","-0.38466"
"3.00000","0.68551","-0.37944"
"3.05000","0.69717","-0.40013"
"3.10000","0.70850","-0.42559"
"3.15000","0.72056","-0.41147"
"3.20000","0.73225","-0.42745"
"3.25000","0.74360","-0.43325"
"3.30000","0.75556","-0.44411"
"3.35000","0.76701","-0.42969"
"3.40000","0.77842","-0.44656"
"3.45000","0.79065","-0.46598"
"3.50000","0.80213","-0.46544"
"3.55000","0.81362","-0.46963"
"3.60000","0.82554","-0.47927"
"3.65000","0.83701","-0.46975"
"3.70000","0.84876","-0.49226"
"3.75000","0.86074","-0.49577"
"3.80000","0.87197","-0.49660"
"3.85000","0.88383","-0.49244"
