Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.14059"
"0.05000","0.00106","0.10936"
"0.10000","0.00862","0.05078"
"0.15000","0.02304","0.09246"
"0.20000","0.04207","0.07859"
"0.25000","0.05743","-0.04886"
"0.30000","0.07254","-0.00928"
"0.35000","0.08731","-0.01652"
"0.40000","0.10260","-0.05717"
"0.45000","0.11743","-0.09764"
"0.50000","0.13263","-0.09488"
"0.55000","0.14734","-0.08852"
"0.60000","0.16273","-0.15838"
"0.65000","0.17766","-0.15718"
"0.70000","0.19265","-0.14706"
"0.75000","0.20742","-0.21297"
"0.80000","0.22250","-0.24538"
"0.85000","0.23772","-0.23672"
"0.90000","0.25237","-0.24089"
"0.95000","0.26741","-0.28470"
"1.00000","0.28232","-0.32246"
"1.05000","0.29781","-0.30056"
"1.10000","0.31251","-0.33920"
"1.15000","0.32764","-0.37803"
"1.20000","0.34249","-0.38764"
"1.25000","0.35781","-0.39594"
"1.30000","0.37269","-0.42814"
"1.35000","0.38750","-0.43561"
"1.40000","0.40261","-0.48051"
"1.45000","0.41750","-0.46387"
"1.50000","0.43271","-0.50870"
"1.55000","0.44732","-0.53618"
"1.60000","0.46251","-0.55139"
"1.65000","0.47736","-0.56793"
"1.70000","0.49274","-0.58822"
"1.75000","0.50755","-0.60735"
"1.80000","0.52258","-0.62662"
"1.85000","0.53760","-0.65444"
"1.90000","0.55270","-0.66482"
"1.95000","0.56752","-0.69572"
"2.00000","0.58246","-0.73385"
"2.05000","0.59757","-0.74332"
"2.10000","0.61259","-0.73872"
"2.15000","0.62756","-0.71016"
"2.20000","0.64232","-0.72623"
"2.25000","0.65752","-0.82457"
"2.30000","0.67261","-0.87368"
"2.35000","0.68765","-0.87358"
"2.40000","0.70229","-0.91859"
"2.45000","0.71770","-0.94118"
"2.50000","0.73259","-0.95015"
"2.55000","0.74776","-0.98002"
"2.60000","0.76248","-0.99351"
"2.65000","0.77738","-1.01768"
"2.70000","0.79253","-1.04292"
"2.75000","0.80754","-1.04328"
"2.80000","0.82256","-1.08367"
"2.85000","0.83734","-1.10487"
"2.90000","0.85278","-1.10783"
"2.95000","0.86753","-1.13679"
"3.00000","0.88273","-1.15273"
"3.05000","0.89730","-1.18322"
"3.10000","0.91273","-1.21874"
"3.15000","0.92752","-1.21845"
"3.20000","0.94255","-1.24588"
"3.25000","0.95739","-1.25855"
"3.30000","0.97245","-1.28667"
"3.35000","0.98768","-1.30571"
"3.40000","1.00243","-1.30444"
"3.45000","1.01763","-1.36061"
"3.50000","1.03237","-1.36923"
"3.55000","1.04790","-1.38849"
"3.60000","1.06244","-1.39754"
"3.65000","1.07764","-1.41490"
"3.70000","1.09238","-1.45104"
"3.75000","1.10760","-1.47661"
"3.80000","1.12236","-1.47888"
"3.85000","1.13743","-1.51188"
"3.90000","1.15256","-1.54692"
"3.95000","1.16761","-1.53994"
"4.00000","1.18282","-1.58441"
"4.05000","1.19758","-1.57008"
"4.10000","1.21264","-1.62447"
"4.15000","1.22754","-1.61613"
"4.20000","1.24268","-1.66850"
"4.25000","1.25740","-1.67530"
"4.30000","1.27251","-1.70784"
"4.35000","1.28744","-1.73056"
"4.40000","1.30260","-1.73539"
"4.45000","1.31745","-1.76739"
"4.50000","1.33245","-1.78401"
"4.55000","1.34754","-1.80877"
"4.60000","1.36272","-1.84411"
"4.65000","1.37764","-1.86955"
"4.70000","1.39244","-1.84560"
"4.75000","1.40761","-1.91717"
"4.80000","1.42252","-1.91217"
"4.85000","1.43772","-1.92422"
"4.90000","1.45233","-1.96335"
"4.95000","1.46754","-1.96304"
"5.00000","1.48236","-1.99201"
"5.05000","1.49775","-2.04107"
"5.10000","1.51244","-2.02285"
"5.15000","1.52763","-2.06530"
"5.20000","1.54257","-2.08012"
"5.25000","1.55758","-2.09684"
"5.30000","1.57250","-2.16143"
"5.35000","1.58746","-2.16629"
"5.40000","1.60284","-2.22279"
"5.45000","1.61746","-2.20733"
"5.50000","1.63258","-2.23448"
"5.55000","1.64718","-2.25550"
"5.60000","1.66265","-2.27136"
"5.65000","1.67748","-2.30968"
"5.70000","1.69269","-2.31254"
"5.75000","1.70748","-2.32257"
"5.80000","1.72266","-2.37346"
"5.85000","1.73776","-2.37609"
"5.90000","1.75257","-2.39478"
"5.95000","1.76758","-2.40346"
"6.00000","1.78240","-2.41819"
"6.05000","1.79767","-2.47055"
"6.10000","1.81238","-2.47170"
"6.15000","1.82751","-2.50645"
"6.20000","1.84228","-2.51559"
"6.25000","1.85771","-2.54506"
"6.30000","1.87265","-2.56593"
"6.35000","1.88762","-2.57022"
"6.40000","1.90254","-2.61313"
"6.45000","1.91768","-2.65321"
"6.50000","1.93263","-2.63278"
"6.55000","1.94748","-2.68133"
"6.60000","1.96249","-2.70044"
"6.65000","1.97751","-2.70312"
"6.70000","1.99245","-2.74346"
"6.75000","2.00718","-2.73278"
"6.80000","2.02236","-2.78363"
"6.85000","2.03769","-2.78826"
