Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.03370"
"0.05000","0.00074","0.02425"
"0.10000","0.00623","0.02346"
"0.15000","0.01557","0.08903"
"0.20000","0.03132","0.05712"
"0.25000","0.04416","0.11176"
"0.30000","0.05564","0.11686"
"0.35000","0.06724","0.16849"
"0.40000","0.07900","0.16695"
"0.45000","0.09043","0.21405"
"0.50000","0.10235","0.22053"
"0.55000","0.11420","0.26021"
"0.60000","0.12555","0.26986"
"0.65000","0.13748","0.29822"
"0.70000","0.14909","0.33428"
"0.75000","0.16048","0.34959"
"0.80000","0.17279","0.36409"
"0.85000","0.18406","0.40866"
"0.90000","0.19541","0.42117"
"0.95000","0.20741","0.44330"
"1.00000","0.21898","0.46310"
"1.05000","0.23061","0.50161"
"1.10000","0.24253","0.51275"
"1.15000","0.25382","0.53102"
"1.20000","0.26556","0.56686"
"1.25000","0.27733","0.59361"
"1.30000","0.28878","0.62974"
"1.35000","0.30089","0.62749"
"1.40000","0.31251","0.67381"
"1.45000","0.32403","0.69242"
"1.50000","0.33588","0.70584"
"1.55000","0.34749","0.73820"
"1.60000","0.35898","0.76489"
"1.65000","0.37080","0.77784"
"1.70000","0.38226","0.81797"
"1.75000","0.39394","0.82995"
"1.80000","0.40572","0.85663"
"1.85000","0.41726","0.87591"
"1.90000","0.42917","0.91616"
"1.95000","0.44065","0.92116"
"2.00000","0.45205","0.95128"
"2.05000","0.46401","0.97236"
"2.10000","0.47581","1.00964"
"2.15000","0.48744","1.02381"
"2.20000","0.49923","1.03888"
"2.25000","0.51066","1.06816"
"2.30000","0.52224","1.10904"
"2.35000","0.53415","1.10441"
"2.40000","0.54554","1.14312"
"2.45000","0.55751","1.16920"
"2.50000","0.56905","1.19699"
"2.55000","0.58040","1.21327"
"2.60000","0.59237","1.23299"
"2.65000","0.60398","1.27440"
"2.70000","0.61548","1.29158"
"2.75000","0.62753","1.31511"
"2.80000","0.63891","1.32523"
"2.85000","0.65052","1.37190"
"2.90000","0.66266","1.37944"
"2.95000","0.67399","1.40776"
"3.00000","0.68577","1.43269"
"3.05000","0.69740","1.45396"
"3.10000","0.70875","1.47887"
"3.15000","0.72079","1.51024"
"3.20000","0.73248","1.52243"
"3.25000","0.74384","1.56339"
"3.30000","0.75578","1.57006"
"3.35000","0.76724","1.61272"
"3.40000","0.77870","1.61676"
"3.45000","0.79091","1.64386"
"3.50000","0.80239","1.67762"
"3.55000","0.81384","1.69689"
"3.60000","0.82579","1.72010"
"3.65000","0.83723","1.73609"
"3.70000","0.84903","1.77986"
