Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.04633"
"0.05000","0.00107","0.05534"
"0.10000","0.00880","-0.02125"
"0.15000","0.02281","0.10564"
"0.20000","0.04185","0.09399"
"0.25000","0.05710","0.09175"
"0.30000","0.07262","0.12907"
"0.35000","0.08742","0.19344"
"0.40000","0.10253","0.20993"
"0.45000","0.11729","0.19773"
"0.50000","0.13257","0.26435"
"0.55000","0.14754","0.29232"
"0.60000","0.16237","0.29571"
"0.65000","0.17737","0.32659"
"0.70000","0.19223","0.37441"
"0.75000","0.20763","0.39281"
"0.80000","0.22234","0.41975"
"0.85000","0.23752","0.43400"
"0.90000","0.25234","0.48971"
"0.95000","0.26780","0.50107"
"1.00000","0.28242","0.51453"
"1.05000","0.29746","0.56126"
"1.10000","0.31239","0.56753"
"1.15000","0.32753","0.60843"
"1.20000","0.34251","0.62758"
"1.25000","0.35725","0.66415"
"1.30000","0.37244","0.68298"
"1.35000","0.38729","0.71745"
"1.40000","0.40263","0.74941"
"1.45000","0.41737","0.77100"
"1.50000","0.43250","0.79467"
"1.55000","0.44745","0.82196"
"1.60000","0.46260","0.84590"
"1.65000","0.47735","0.89348"
"1.70000","0.49240","0.89182"
"1.75000","0.50742","0.93561"
"1.80000","0.52253","0.95995"
"1.85000","0.53743","0.99563"
"1.90000","0.55232","1.01412"
"1.95000","0.56749","1.04299"
"2.00000","0.58261","1.05911"
"2.05000","0.59757","1.10908"
"2.10000","0.61228","1.12246"
"2.15000","0.62752","1.14264"
"2.20000","0.64232","1.18075"
"2.25000","0.65760","1.18842"
"2.30000","0.67221","1.26194"
"2.35000","0.68737","1.24916"
"2.40000","0.70235","1.28734"
"2.45000","0.71755","1.29260"
"2.50000","0.73238","1.35448"
"2.55000","0.74740","1.38005"
"2.60000","0.76264","1.36745"
"2.65000","0.77745","1.41922"
"2.70000","0.79250","1.47702"
"2.75000","0.80718","1.47052"
"2.80000","0.82267","1.49256"
"2.85000","0.83735","1.53652"
"2.90000","0.85245","1.56284"
"2.95000","0.86719","1.58283"
"3.00000","0.88246","1.59050"
"3.05000","0.89749","1.66248"
"3.10000","0.91244","1.65924"
"3.15000","0.92747","1.68391"
"3.20000","0.94246","1.73048"
"3.25000","0.95774","1.75510"
"3.30000","0.97233","1.77700"
"3.35000","0.98749","1.79111"
"3.40000","1.00223","1.84427"
"3.45000","1.01763","1.86227"
"3.50000","1.03231","1.87872"
"3.55000","1.04735","1.91337"
"3.60000","1.06226","1.94013"
"3.65000","1.07753","1.97203"
"3.70000","1.09259","1.99579"
"3.75000","1.10744","2.01421"
"3.80000","1.12255","2.05189"
"3.85000","1.13754","2.07442"
"3.90000","1.15252","2.10894"
"3.95000","1.16733","2.12699"
"4.00000","1.18243","2.16159"
"4.05000","1.19733","2.18945"
"4.10000","1.21246","2.22262"
"4.15000","1.22728","2.23471"
"4.20000","1.24236","2.25928"
"4.25000","1.25739","2.31681"
"4.30000","1.27262","2.31361"
"4.35000","1.28748","2.32741"
"4.40000","1.30243","2.38336"
"4.45000","1.31748","2.40254"
"4.50000","1.33251","2.42180"
"4.55000","1.34754","2.46881"
"4.60000","1.36220","2.49635"
"4.65000","1.37741","2.50289"
"4.70000","1.39226","2.55457"
"4.75000","1.40764","2.55445"
"4.80000","1.42227","2.60666"
"4.85000","1.43761","2.62208"
"4.90000","1.45243","2.64230"
"4.95000","1.46771","2.68005"
"5.00000","1.48233","2.70780"
"5.05000","1.49742","2.74649"
"5.10000","1.51254","2.74976"
"5.15000","1.52739","2.78323"
"5.20000","1.54240","2.81245"
"5.25000","1.55712","2.85011"
"5.30000","1.57259","2.86428"
"5.35000","1.58734","2.89660"
