Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00520"
"0.01000","0.00000","0.00076"
"0.02000","0.00000","0.00146"
"0.03000","0.00000","0.00263"
"0.04000","0.00000","0.00002"
"0.05000","0.00000","-0.00519"
"0.06000","0.00000","-0.00432"
"0.07000","0.00000","-0.00105"
"0.08000","0.00000","0.00244"
"0.09000","0.00000","0.00489"
"0.10000","0.00000","0.00545"
"0.11000","0.00000","0.01216"
"0.12000","0.00000","0.01923"
"0.13000","0.00000","0.02057"
"0.14000","0.00000","0.01816"
"0.15000","0.00000","0.01329"
"0.16000","0.00000","0.00638"
"0.17000","0.00000","-0.00081"
"0.18000","0.00000","-0.00164"
"0.19000","0.00000","0.00358"
"0.20000","0.00000","0.00907"
"0.21000","0.00000","0.00828"
"0.22000","0.00000","-0.00112"
"0.23000","0.00000","-0.00768"
"0.24000","0.00000","-0.00531"
"0.25000","0.00000","-0.00207"
"0.26000","0.00000","0.00150"
"0.27000","0.00000","0.01030"
"0.28000","0.00000","0.02195"
"0.29000","0.00000","0.02711"
"0.30000","0.00000","0.01645"
"0.31000","0.00000","-0.00286"
"0.32000","0.00000","-0.01591"
"0.33000","0.00000","-0.01253"
"0.34000","0.00000","0.00144"
"0.35000","0.00000","0.01231"
"0.36000","0.00000","0.02028"
"0.37000","0.00000","0.02072"
"0.38000","0.00000","0.01302"
"0.39000","0.00000","-0.00332"
"0.40000","0.00000","-0.01666"
"0.41000","0.00000","-0.01515"
"0.42000","0.00000","0.00004"
"0.43000","0.00000","0.01160"
"0.44000","0.00000","0.01232"
"0.45000","0.00000","0.00414"
"0.46000","0.00000","-0.00197"
"0.47000","0.00000","-0.00089"
"0.48000","0.00000","0.00317"
"0.49000","0.00000","0.00701"
"0.50000","0.00000","0.00881"
"0.51000","0.00000","0.00735"
"0.52000","0.00000","0.00404"
"0.53000","0.00000","-0.00371"
"0.54000","0.00000","-0.00239"
"0.55000","0.00000","0.00911"
"0.56000","0.00000","0.01865"
"0.57000","0.00000","0.01312"
"0.58000","0.00000","-0.00133"
"0.59000","0.00000","-0.00994"
"0.60000","0.00000","-0.00915"
"0.61000","0.00000","0.00219"
"0.62000","0.00000","0.01398"
"0.63000","0.00000","0.01855"
"0.64000","0.00000","0.01671"
"0.65000","0.00000","0.00729"
"0.66000","0.00000","-0.00298"
"0.67000","0.00000","-0.00589"
"0.68000","0.00000","0.00410"
"0.69000","0.00000","0.01608"
"0.70000","0.00000","0.01659"
"0.71000","0.00000","0.00896"
"0.72000","0.00000","0.00107"
"0.73000","0.00000","0.00111"
"0.74000","0.00000","0.00614"
"0.75000","0.00000","0.01140"
"0.76000","0.00000","0.01597"
"0.77000","0.00000","0.01054"
"0.78000","0.00000","0.00084"
"0.79000","0.00000","-0.00680"
"0.80000","0.00000","-0.01146"
"0.81000","0.00000","-0.00165"
"0.82000","0.00000","0.01616"
"0.83000","0.00000","0.02522"
"0.84000","0.00000","0.01760"
"0.85000","0.00000","0.00546"
"0.86000","0.00000","-0.00416"
"0.87000","0.00000","-0.00889"
"0.88000","0.00000","-0.00294"
"0.89000","0.00000","0.00753"
"0.90000","0.00000","0.01439"
"0.91000","0.00000","0.01511"
"0.92000","0.00000","0.00982"
"0.93000","0.00000","0.00425"
"0.94000","0.00000","0.00103"
"0.95000","0.00000","0.00092"
"0.96000","0.00000","-0.00048"
"0.97000","0.00000","-0.00484"
"0.98000","0.00000","-0.00224"
"0.99000","0.00000","0.00896"
"1.00000","0.00000","0.02171"
"1.01000","0.00000","0.02553"
"1.02000","0.00000","0.01853"
"1.03000","0.00000","0.00472"
"1.04000","0.00000","-0.01128"
"1.05000","0.00000","-0.01681"
"1.06000","0.00000","-0.00770"
"1.07000","0.00000","0.01020"
"1.08000","0.00000","0.02327"
"1.09000","0.00000","0.02164"
"1.10000","0.00000","0.00837"
"1.11000","0.00000","-0.00620"
"1.12000","0.00000","-0.01000"
"1.13000","0.00000","-0.00520"
"1.14000","0.00000","-0.00039"
"1.15000","0.00000","0.00263"
"1.16000","0.00000","0.00462"
"1.17000","0.00000","0.00430"
"1.18000","0.00000","-0.00199"
"1.19000","0.00000","-0.00458"
"1.20000","0.00000","0.00086"
"1.21000","0.00000","0.01009"
"1.22000","0.00000","0.01754"
"1.23000","0.00000","0.01086"
"1.24000","0.00000","-0.00637"
"1.25000","0.00000","-0.01721"
"1.26000","0.00000","-0.01492"
"1.27000","0.00000","-0.00092"
"1.28000","0.00000","0.01675"
"1.29000","0.00000","0.03226"
"1.30000","0.00000","0.03118"
"1.31000","0.00000","0.01382"
"1.32000","0.00000","-0.00957"
"1.33000","0.00000","-0.02595"
"1.34000","0.00000","-0.01666"
"1.35000","0.00000","0.00954"
"1.36000","0.00000","0.03341"
"1.37000","0.00000","0.03751"
"1.38000","0.00000","0.01964"
"1.39000","0.00000","-0.00588"
"1.40000","0.00000","-0.02569"
"1.41000","0.00000","-0.02544"
"1.42000","0.00000","-0.00604"
"1.43000","0.00000","0.01917"
"1.44000","0.00000","0.03392"
"1.45000","0.00000","0.02703"
"1.46000","0.00000","0.00718"
"1.47000","0.00000","-0.01674"
"1.48000","0.00000","-0.02964"
"1.49000","0.00000","-0.02493"
"1.50000","0.00000","-0.00543"
"1.51000","0.00000","0.02054"
"1.52000","0.00000","0.03661"
"1.53000","0.00000","0.03374"
"1.54000","0.00000","0.01020"
"1.55000","0.00000","-0.01408"
"1.56000","0.00000","-0.02167"
"1.57000","0.00000","-0.01065"
"1.58000","0.00000","0.00762"
"1.59000","0.00000","0.02092"
"1.60000","0.00000","0.02155"
"1.61000","0.00000","0.01109"
"1.62000","0.00000","-0.00442"
"1.63000","0.00000","-0.01588"
"1.64000","0.00000","-0.01757"
"1.65000","0.00000","-0.00601"
"1.66000","0.00000","0.00934"
"1.67000","0.00000","0.01700"
"1.68000","0.00000","0.01613"
"1.69000","0.00000","0.00992"
"1.70000","0.00000","0.00365"
"1.71000","0.00000","-0.00444"
"1.72000","0.00000","-0.00833"
"1.73000","0.00000","-0.00335"
"1.74000","0.00000","0.00691"
"1.75000","0.00000","0.01478"
"1.76000","0.00000","0.01520"
"1.77000","0.00000","0.00734"
"1.78000","0.00000","-0.00280"
"1.79000","0.00000","-0.00960"
"1.80000","0.00000","-0.01400"
"1.81000","0.00000","-0.01482"
"1.82000","0.00000","-0.00444"
"1.83000","0.00000","0.00939"
"1.84000","0.00000","0.01703"
"1.85000","0.00000","0.01297"
"1.86000","0.00000","0.00419"
"1.87000","0.00000","-0.00157"
"1.88000","0.00000","-0.00306"
"1.89000","0.00000","-0.00218"
"1.90000","0.00000","-0.00087"
"1.91000","0.00000","0.00050"
"1.92000","0.00000","0.00283"
"1.93000","0.00000","0.00791"
"1.94000","0.00000","0.01034"
"1.95000","0.00000","0.00676"
"1.96000","0.00000","0.00091"
"1.97000","0.00000","-0.00878"
"1.98000","0.00000","-0.01743"
"1.99000","0.00000","-0.01244"
"2.00000","0.00000","0.00150"
"2.01000","0.00000","0.01640"
"2.02000","0.00000","0.02005"
"2.03000","0.00000","0.01007"
"2.04000","0.00000","-0.00441"
"2.05000","0.00000","-0.01069"
"2.06000","0.00000","-0.00542"
"2.07000","0.00000","0.00541"
"2.08000","0.00000","0.01747"
"2.09000","0.00000","0.02128"
"2.10000","0.00000","0.01232"
"2.11000","0.00000","-0.00618"
"2.12000","0.00000","-0.02279"
"2.13000","0.00000","-0.02136"
"2.14000","0.00000","-0.00344"
"2.15000","0.00000","0.01707"
"2.16000","0.00000","0.02532"
"2.17000","0.00000","0.01667"
"2.18000","0.00000","-0.00137"
"2.19000","0.00000","-0.01606"
"2.20000","0.00000","-0.01856"
"2.21000","0.00000","-0.00979"
"2.22000","0.00000","0.00726"
"2.23000","0.00000","0.02482"
"2.24000","0.00000","0.02649"
"2.25000","0.00000","0.01584"
"2.26000","0.00000","0.00184"
"2.27000","0.00000","-0.00823"
"2.28000","0.00000","-0.01222"
"2.29000","0.00000","-0.01110"
"2.30000","0.00000","-0.00330"
"2.31000","0.00000","0.00991"
"2.32000","0.00000","0.02363"
"2.33000","0.00000","0.02746"
"2.34000","0.00000","0.01470"
"2.35000","0.00000","-0.00430"
"2.36000","0.00000","-0.01335"
"2.37000","0.00000","-0.00910"
"2.38000","0.00000","0.00200"
"2.39000","0.00000","0.01320"
"2.40000","0.00000","0.01803"
"2.41000","0.00000","0.01313"
"2.42000","0.00000","0.00195"
"2.43000","0.00000","-0.00851"
"2.44000","0.00000","-0.01192"
"2.45000","0.00000","-0.00585"
"2.46000","0.00000","0.00557"
"2.47000","0.00000","0.01310"
"2.48000","0.00000","0.01017"
"2.49000","0.00000","0.00539"
"2.50000","0.00000","0.00084"
"2.51000","0.00000","-0.00424"
"2.52000","0.00000","-0.00610"
"2.53000","0.00000","-0.00534"
"2.54000","0.00000","-0.00015"
"2.55000","0.00000","0.00436"
"2.56000","0.00000","0.00628"
"2.57000","0.00000","0.00864"
"2.58000","0.00000","0.01392"
"2.59000","0.00000","0.01546"
"2.60000","0.00000","0.00917"
"2.61000","0.00000","-0.00481"
"2.62000","0.00000","-0.01864"
"2.63000","0.00000","-0.01917"
"2.64000","0.00000","-0.00266"
"2.65000","0.00000","0.01538"
"2.66000","0.00000","0.02662"
"2.67000","0.00000","0.02305"
"2.68000","0.00000","0.00516"
"2.69000","0.00000","-0.01486"
"2.70000","0.00000","-0.02067"
"2.71000","0.00000","-0.00876"
"2.72000","0.00000","0.01098"
"2.73000","0.00000","0.02664"
"2.74000","0.00000","0.02253"
"2.75000","0.00000","0.00526"
"2.76000","0.00000","-0.00947"
"2.77000","0.00000","-0.01487"
"2.78000","0.00000","-0.00772"
