% Model:              2D Simulation_Smooth_Thin_1N.mph
% Version:            COMSOL 5.3.1.201
% Date:               Apr 17 2022, 14:13
% Table:              Table 2 - Global Evaluation 1 (aveop1(u), aveop1(v), aveop2(u), aveop2(v))
% F1x (N)                                         F1y (N)                                           F2x (N)                                           F2y (N)                                           X1 (mm)                                           Y1 (mm)                                           X2 (mm)                                           Y2 (mm)
0                                                 1                                                 1                                                 0                                                 0.24464415721736063                               -0.13535119399505485                              0.3584317595816896                                0.13759201681146094
-0.166                                            0.4406                                            -0.9998                                           -0.3953                                           -0.14010241932835674                              0.08075543033913413                               -0.20431373183837434                              -0.04993254102972806
-0.7065                                           -0.8153                                           -0.6275                                           -0.3089                                           -0.3115499211766838                               0.12109110625503842                               -0.34449778012448434                              -0.16543791667772537
-0.2065                                           0.0776                                            -0.1616                                           0.3704                                            -0.11385762888557352                              0.05437360383675423                               -0.09479618049792243                              -0.039118036341471596
-0.5911                                           0.7562                                            -0.9452                                           0.3409                                            -0.2936179952200929                               0.14507490500818412                               -0.2834946743428606                               -0.09157117689837478
-0.1654                                           0.1174                                            -0.7192                                           -0.6038                                           -0.0925183907099465                               0.04608749647297614                               -0.15310414642551787                              -0.04487302138362187
0.6015                                            0.9365                                            -0.3732                                           0.3846                                            0.1131446722925628                                -0.004734536514528713                             0.08220133736465127                               0.08777605574792699
0.7528                                            0.7892                                            -0.8299                                           -0.9219                                           0.2016869748622169                                -0.04833212091429356                              0.07234143724910368                               0.098224381909161
-0.6603                                           0.7563                                            -0.8033                                           -0.1578                                           -0.23311049505672726                              0.10215278835249687                               -0.22360823238277758                              -0.07464652615914602
0.9158                                            0.0663                                            0.3838                                            -0.369                                            0.3407004146886883                                -0.13347943588839692                              0.2883222402136005                                0.14036065293913477
0.373                                             0.6693                                            -0.9634                                           0.5003                                            -0.0777746101215525                               0.09016477833034917                               -0.1426005387786843                               3.906007281196463E-6
0.9777                                            0.4963                                            -0.4391                                           0.5786                                            0.14380730618034232                               2.511639794637487E-4                              0.06939314446073577                               0.08896858212181795
-0.7935                                           -0.1042                                           0.8172                                            -0.4128                                           -0.02175730059690065                              -0.05427321649894026                              0.08739163189127334                               -0.02101560001448421
-0.4244                                           -0.7399                                           -0.9613                                           0.3577                                            -0.3641913256725489                               0.17805223971549053                               -0.42000659946839797                              -0.17325199559330373
-0.5767                                           -0.4689                                           -0.0169                                           -0.8933                                           -0.08600836925554552                              -0.001841716003252944                             -0.08916781800735978                              -0.06833694830295557
0.1482                                            -0.7065                                           0.1786                                            0.3995                                            -0.025676136832423715                             0.016290422412323022                              -0.03401804474247985                              -0.02875495745193958
-0.7953                                           -0.1719                                           0.3888                                            -0.1716                                           -0.12683551337666873                              0.009491590870937067                              -0.0453687250195451                               -0.06336460802103044
-0.9001                                           0.0718                                            0.3276                                            0.0298                                            -0.1677304249367033                               0.02997225244954709                               -0.06736529861127662                              -0.06872841747986147
0.8892                                            0.1731                                            0.8068                                            -0.7251                                           0.45283474700383536                               -0.20325341526638724                              0.42733076582134644                               0.1850840989394923
-0.7214                                           0.6148                                            -0.2046                                           -0.6693                                           -0.10059790479089636                              0.012860571738779936                              -0.061662350281878775                             -0.03278657590129563
0.855                                             -0.3045                                           0.5016                                            0.452                                             0.23106959783705455                               -0.0773630702214923                               0.20832751085471693                               0.09493720718722193
0.7666                                            0.2473                                            0.5019                                            -0.3022                                           0.3294740190434855                                -0.13605822278065585                              0.3068031326634328                                0.14288873899420132
-0.4601                                           0.7918                                            -0.1438                                           0.9297                                            -0.18292370375913897                              0.08736908538242259                               -0.09820317992056352                              -0.03401112144180044
0.3269                                            0.2434                                            -0.7705                                           0.899                                             -0.1294980544393155                               0.1110146540306808                                -0.17647280439620394                              -0.03011358118214322
-0.1002                                           0.1568                                            -0.1837                                           -0.5259                                           0.010755369820922935                              -0.012001794115528463                             -0.008615961643768277                             0.0011274772332638206
