Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.02600"
"0.05000","0.00219","0.02476"
"0.10000","0.01147","0.06108"
"0.15000","0.02868","0.04526"
"0.20000","0.04568","0.06278"
"0.25000","0.06055","0.08259"
"0.30000","0.07605","0.16329"
"0.35000","0.09083","0.14935"
"0.40000","0.10593","0.17191"
"0.45000","0.12088","0.20285"
"0.50000","0.13609","0.25590"
"0.55000","0.15128","0.25758"
"0.60000","0.16605","0.27565"
"0.65000","0.18125","0.32642"
"0.70000","0.19610","0.35350"
"0.75000","0.21147","0.36560"
"0.80000","0.22603","0.39790"
"0.85000","0.24120","0.43968"
"0.90000","0.25597","0.44892"
"0.95000","0.27131","0.46837"
"1.00000","0.28602","0.51736"
"1.05000","0.30100","0.54138"
"1.10000","0.31601","0.54804"
"1.15000","0.33118","0.58442"
"1.20000","0.34636","0.62842"
"1.25000","0.36112","0.61841"
"1.30000","0.37625","0.66970"
"1.35000","0.39116","0.69103"
"1.40000","0.40618","0.73568"
"1.45000","0.42095","0.71439"
"1.50000","0.43611","0.78001"
"1.55000","0.45108","0.80557"
"1.60000","0.46628","0.81456"
"1.65000","0.48100","0.83986"
"1.70000","0.49605","0.88089"
"1.75000","0.51120","0.90764"
"1.80000","0.52639","0.91903"
"1.85000","0.54118","0.94282"
"1.90000","0.55605","0.98441"
"1.95000","0.57117","1.00307"
"2.00000","0.58613","1.02678"
"2.05000","0.60122","1.05479"
"2.10000","0.61580","1.09460"
"2.15000","0.63111","1.11764"
"2.20000","0.64601","1.12581"
"2.25000","0.66131","1.17251"
"2.30000","0.67596","1.19247"
"2.35000","0.69126","1.21463"
"2.40000","0.70612","1.24924"
"2.45000","0.72126","1.27067"
"2.50000","0.73603","1.29636"
"2.55000","0.75101","1.32446"
"2.60000","0.76638","1.35145"
"2.65000","0.78117","1.38493"
"2.70000","0.79617","1.39221"
"2.75000","0.81081","1.44298"
"2.80000","0.82627","1.45005"
"2.85000","0.84104","1.49375"
"2.90000","0.85612","1.49770"
"2.95000","0.87091","1.53852"
"3.00000","0.88634","1.57571"
"3.05000","0.90129","1.58996"
"3.10000","0.91612","1.60397"
"3.15000","0.93109","1.65635"
"3.20000","0.94605","1.67180"
"3.25000","0.96126","1.69447"
"3.30000","0.97596","1.71438"
"3.35000","0.99109","1.76556"
"3.40000","1.00590","1.77758"
"3.45000","1.02135","1.79831"
"3.50000","1.03617","1.83129"
"3.55000","1.05114","1.86086"
"3.60000","1.06619","1.88851"
"3.65000","1.08135","1.90069"
"3.70000","1.09614","1.93798"
"3.75000","1.11106","1.96879"
"3.80000","1.12608","1.99226"
"3.85000","1.14099","2.01359"
"3.90000","1.15604","2.04079"
"3.95000","1.17077","2.07916"
"4.00000","1.18589","2.10184"
"4.05000","1.20108","2.12384"
"4.10000","1.21636","2.14988"
"4.15000","1.23107","2.17499"
"4.20000","1.24623","2.22063"
"4.25000","1.26119","2.23190"
"4.30000","1.27662","2.25545"
"4.35000","1.29116","2.29103"
"4.40000","1.30591","2.32203"
"4.45000","1.32111","2.33433"
"4.50000","1.33622","2.36240"
"4.55000","1.35126","2.39807"
"4.60000","1.36596","2.42760"
"4.65000","1.38138","2.44402"
"4.70000","1.39611","2.48294"
"4.75000","1.41133","2.49525"
"4.80000","1.42584","2.54344"
"4.85000","1.44130","2.54994"
"4.90000","1.45608","2.58232"
"4.95000","1.47111","2.60911"
"5.00000","1.48589","2.63987"
"5.05000","1.50099","2.66267"
"5.10000","1.51630","2.68806"
"5.15000","1.53116","2.72366"
"5.20000","1.54625","2.74547"
"5.25000","1.56097","2.77062"
"5.30000","1.57647","2.79082"
"5.35000","1.59108","2.82845"
"5.40000","1.60623","2.85214"
"5.45000","1.62093","2.88727"
"5.50000","1.63631","2.88814"
"5.55000","1.65113","2.94517"
"5.60000","1.66608","2.95168"
"5.65000","1.68103","2.99123"
"5.70000","1.69606","3.00338"
"5.75000","1.71132","3.04028"
"5.80000","1.72619","3.06816"
"5.85000","1.74121","3.09456"
"5.90000","1.75610","3.12213"
"5.95000","1.77126","3.15069"
"6.00000","1.78605","3.18452"
"6.05000","1.80112","3.20532"
"6.10000","1.81598","3.22217"
"6.15000","1.83117","3.26490"
"6.20000","1.84607","3.28721"
"6.25000","1.86104","3.31048"
"6.30000","1.87615","3.33512"
"6.35000","1.89133","3.36146"
"6.40000","1.90621","3.39583"
"6.45000","1.92109","3.42140"
"6.50000","1.93620","3.44408"
"6.55000","1.95116","3.47706"
"6.60000","1.96633","3.50788"
"6.65000","1.98088","3.53600"
"6.70000","1.99609","3.54657"
"6.75000","2.01100","3.59642"
"6.80000","2.02630","3.60402"
"6.85000","2.04088","3.65178"
"6.90000","2.05603","3.66293"
"6.95000","2.07127","3.69171"
"7.00000","2.08644","3.73169"
"7.05000","2.10122","3.74593"
"7.10000","2.11596","3.77492"
"7.15000","2.13118","3.80275"
"7.20000","2.14604","3.84462"
"7.25000","2.16124","3.85989"
"7.30000","2.17582","3.88191"
"7.35000","2.19122","3.91732"
"7.40000","2.20609","3.95778"
"7.45000","2.22133","3.96234"
"7.50000","2.23607","3.99900"
"7.55000","2.25123","4.02477"
"7.60000","2.26629","4.06583"
"7.65000","2.28121","4.07293"
"7.70000","2.29620","4.10378"
"7.75000","2.31092","4.14202"
"7.80000","2.32611","4.16411"
"7.85000","2.34079","4.19183"
"7.90000","2.35589","4.22076"
"7.95000","2.37071","4.24899"
"8.00000","2.38633","4.27635"
"8.05000","2.40147","4.30354"
"8.10000","2.41642","4.33227"
"8.15000","2.43119","4.35097"
"8.20000","2.44632","4.39171"
"8.25000","2.46116","4.41963"
"8.30000","2.47613","4.42631"
"8.35000","2.49100","4.47284"
"8.38100","2.50026","4.49382"
"8.38200","2.50056","4.49439"
"8.38300","2.50087","4.49484"
"8.43300","2.51090","4.43319"
"8.48300","2.50232","4.49015"
"8.53300","2.48815","4.46275"
"8.58300","2.47109","4.43558"
"8.63300","2.45542","4.40197"
"8.68300","2.44030","4.37738"
"8.73300","2.42502","4.34513"
"8.78300","2.41023","4.32417"
"8.83300","2.39503","4.28191"
"8.88300","2.37991","4.26510"
"8.93300","2.36478","4.24114"
"8.98300","2.35004","4.20088"
"9.03300","2.33514","4.17828"
"9.08300","2.32004","4.14706"
"9.13300","2.30514","4.11301"
"9.18300","2.29004","4.10554"
"9.23300","2.27529","4.05842"
"9.28300","2.25990","4.03771"
"9.33300","2.24512","4.00035"
"9.38300","2.22984","3.99826"
"9.43300","2.21515","3.94419"
"9.48300","2.19980","3.91934"
"9.53300","2.18494","3.91250"
"9.58300","2.17006","3.86415"
"9.63300","2.15530","3.83517"
"9.68300","2.14018","3.81158"
"9.73300","2.12496","3.79201"
