Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.08250"
"0.05000","0.00108","0.08794"
"0.10000","0.00880","0.05169"
"0.15000","0.02279","0.06734"
"0.20000","0.04160","0.02960"
"0.25000","0.05723","-0.02117"
"0.30000","0.07206","-0.00821"
"0.35000","0.08760","-0.01787"
"0.40000","0.10225","-0.05098"
"0.45000","0.11724","-0.03867"
"0.50000","0.13219","-0.06470"
"0.55000","0.14732","-0.08263"
"0.60000","0.16246","-0.08562"
"0.65000","0.17716","-0.08913"
"0.70000","0.19241","-0.13424"
"0.75000","0.20724","-0.12229"
"0.80000","0.22260","-0.17778"
"0.85000","0.23715","-0.14957"
"0.90000","0.25241","-0.18063"
"0.95000","0.26720","-0.20682"
"1.00000","0.28247","-0.21712"
"1.05000","0.29717","-0.21470"
"1.10000","0.31219","-0.24664"
"1.15000","0.32734","-0.24747"
"1.20000","0.34235","-0.26073"
"1.25000","0.35742","-0.29432"
"1.30000","0.37225","-0.27000"
"1.35000","0.38754","-0.32387"
"1.40000","0.40234","-0.31501"
"1.45000","0.41737","-0.30847"
"1.50000","0.43211","-0.28648"
"1.55000","0.44737","-0.30125"
"1.60000","0.46228","-0.38477"
"1.65000","0.47734","-0.43827"
"1.70000","0.49211","-0.45025"
"1.75000","0.50723","-0.46075"
"1.80000","0.52240","-0.47810"
"1.85000","0.53753","-0.50066"
"1.90000","0.55232","-0.49531"
"1.95000","0.56723","-0.51070"
"2.00000","0.58244","-0.52719"
"2.05000","0.59726","-0.52929"
"2.10000","0.61235","-0.55736"
"2.15000","0.62705","-0.54729"
"2.20000","0.64238","-0.60296"
"2.25000","0.65711","-0.59405"
"2.30000","0.67241","-0.61886"
"2.35000","0.68710","-0.62598"
"2.40000","0.70245","-0.64425"
"2.45000","0.71738","-0.65770"
"2.50000","0.73240","-0.68240"
"2.55000","0.74720","-0.67488"
"2.60000","0.76225","-0.68266"
"2.65000","0.77749","-0.72652"
"2.70000","0.79217","-0.71775"
"2.75000","0.80726","-0.73765"
"2.80000","0.82201","-0.73781"
"2.85000","0.83751","-0.77597"
"2.90000","0.85224","-0.77783"
"2.95000","0.86739","-0.81567"
"3.00000","0.88225","-0.79911"
"3.05000","0.89758","-0.84295"
"3.10000","0.91244","-0.84991"
"3.15000","0.92726","-0.88025"
"3.20000","0.94235","-0.87023"
"3.25000","0.95722","-0.88413"
"3.30000","0.97242","-0.90370"
"3.35000","0.98707","-0.90774"
"3.40000","1.00229","-0.91782"
"3.45000","1.01715","-0.93527"
"3.50000","1.03249","-0.95287"
"3.55000","1.04724","-0.96609"
"3.60000","1.06236","-1.00339"
"3.65000","1.07742","-1.00887"
"3.70000","1.09242","-1.02734"
"3.75000","1.10729","-1.02672"
"3.80000","1.12219","-1.05752"
"3.85000","1.13731","-1.05284"
"3.90000","1.15230","-1.08166"
"3.95000","1.16731","-1.07390"
"4.00000","1.18210","-1.10504"
"4.05000","1.19724","-1.11106"
"4.10000","1.21235","-1.12018"
"4.15000","1.22752","-1.15652"
"4.20000","1.24212","-1.15740"
"4.25000","1.25737","-1.17709"
"4.30000","1.27220","-1.18572"
"4.35000","1.28745","-1.21327"
"4.40000","1.30219","-1.21547"
"4.45000","1.31717","-1.24801"
"4.50000","1.33229","-1.23183"
"4.55000","1.34737","-1.27033"
"4.60000","1.36236","-1.27355"
"4.65000","1.37706","-1.28756"
"4.70000","1.39256","-1.30155"
"4.75000","1.40726","-1.31191"
"4.80000","1.42247","-1.31457"
"4.85000","1.43706","-1.35297"
"4.90000","1.45248","-1.36783"
"4.95000","1.46730","-1.35064"
"5.00000","1.48232","-1.39211"
"5.05000","1.49716","-1.41604"
"5.10000","1.51226","-1.42113"
"5.15000","1.52747","-1.45127"
"5.20000","1.54221","-1.43480"
"5.25000","1.55736","-1.45124"
"5.30000","1.57213","-1.45685"
"5.35000","1.58767","-1.47858"
"5.40000","1.60220","-1.51643"
"5.45000","1.61741","-1.54949"
"5.50000","1.63212","-1.55361"
"5.55000","1.64746","-1.59582"
"5.60000","1.66227","-1.59808"
"5.65000","1.67721","-1.59837"
"5.70000","1.69223","-1.64826"
"5.75000","1.70726","-1.63937"
"5.80000","1.72245","-1.65105"
"5.85000","1.73726","-1.65869"
"5.90000","1.75241","-1.67783"
"5.95000","1.76729","-1.69105"
"6.00000","1.78244","-1.71340"
"6.05000","1.79718","-1.71706"
"6.10000","1.81221","-1.72902"
"6.15000","1.82715","-1.75616"
"6.20000","1.84238","-1.76245"
"6.25000","1.85734","-1.78091"
"6.30000","1.87225","-1.79886"
"6.35000","1.88733","-1.81317"
"6.40000","1.90243","-1.81722"
"6.45000","1.91740","-1.85495"
"6.50000","1.93220","-1.84981"
"6.55000","1.94740","-1.86380"
"6.60000","1.96226","-1.87291"
"6.65000","1.97750","-1.88054"
"6.70000","1.99209","-1.90606"
"6.75000","2.00724","-1.91767"
"6.80000","2.02210","-1.93700"
"6.85000","2.03751","-1.96784"
"6.90000","2.05222","-1.96244"
"6.95000","2.06736","-1.98766"
"7.00000","2.08238","-2.01305"
"7.05000","2.09742","-2.00031"
"7.10000","2.11233","-2.02665"
"7.15000","2.12711","-2.01666"
"7.20000","2.14234","-2.05303"
"7.25000","2.15712","-2.06668"
"7.30000","2.17236","-2.05911"
"7.35000","2.18696","-2.07621"
"7.40000","2.20238","-2.09936"
"7.45000","2.21719","-2.11887"
"7.50000","2.23246","-2.13878"
"7.55000","2.24727","-2.14162"
"7.60000","2.26240","-2.14059"
"7.65000","2.27752","-2.17069"
"7.70000","2.29241","-2.18409"
"7.75000","2.30746","-2.18599"
"7.80000","2.32214","-2.19371"
"7.85000","2.33748","-2.23066"
"7.90000","2.35216","-2.24253"
"7.95000","2.36729","-2.27017"
"8.00000","2.38209","-2.25248"
"8.05000","2.39747","-2.29116"
"8.10000","2.41234","-2.32675"
"8.15000","2.42736","-2.32193"
"8.20000","2.44229","-2.33979"
"8.25000","2.45743","-2.35461"
"8.30000","2.47237","-2.36288"
"8.35000","2.48725","-2.38496"
"8.39300","2.50016","-2.41070"
"8.39400","2.50046","-2.41195"
"8.39500","2.50076","-2.41309"
"8.44500","2.51028","-2.44885"
"8.49500","2.50160","-2.41291"
"8.54500","2.48758","-2.39443"
"8.59500","2.47019","-2.34801"
"8.64500","2.45476","-2.33710"
"8.69500","2.43947","-2.31649"
"8.74500","2.42461","-2.31964"
"8.79500","2.40949","-2.31532"
"8.84500","2.39426","-2.25651"
"8.89500","2.37924","-2.26913"
"8.94500","2.36431","-2.26795"
"8.99500","2.34954","-2.24307"
"9.04500","2.33434","-2.21452"
"9.09500","2.31950","-2.19844"
"9.14500","2.30419","-2.16449"
"9.19500","2.28958","-2.18404"
"9.24500","2.27426","-2.16319"
"9.29500","2.25940","-2.12690"
"9.34500","2.24415","-2.13616"
"9.39500","2.22940","-2.11875"
